key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CLSCUL680_02607_SEQ_00","Raulf a besoin que vous lui rendiez un <hex:021A020203>grand<hex:021A020103> service."
1,"TEXT_CLSCUL680_02607_SEQ_01","Fier du succès rencontré par sa soupe de nouilles, Raulf a décidé de passer à la vitesse supérieure en proposant des “nigirizushi” à la carte de son café. Incapable de s'éloigner de sa cuisine pendant plus de quelques heures, il vous a supplié<hex:020808E905FF02>e<hex:FF01><hex:03> de vous rendre en Hingashi à sa place afin d'y suivre une formation sur l'art de préparer des sushis. Et puisque vous avez généreusement accepté, vous devez à présent vous rendre à l'auberge du Bokairo de Kugane et parler à Karaku."
2,"TEXT_CLSCUL680_02607_SEQ_02","Le maître des lieux vous a dit que son maître sushi était parti pêcher du poisson frais dans la Mer de Rubis. Plutôt que d'attendre son retour, vous avez décidé d'aller à sa rencontre. Plongez du côté de l'île de Bekko et trouvez la trace de ce fameux “chef Shamoji”."
3,"TEXT_CLSCUL680_02607_SEQ_03","Vous avez découvert avec stupéfaction que le chef Shamoji était un homme-tortue<hex:021D0103>! Vexé d'avoir raté un gros poisson par votre faute, il a rejeté votre demande et s'en est retourné à l'auberge. Retournez vous aussi à l'auberge du Bokairo et parlez une nouvelle fois à Shamoji."
4,"TEXT_CLSCUL680_02607_SEQ_04","Contre toute attente, vous avez rencontré messire Dellemont à l'auberge du Bokairo. Grâce à son in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion miraculeuse, Shamoji a accepté de vous initier à son art. Certaines personnes mettent des lunes, d'autres plusieurs années, mais il vous a suffi d'à peine quelques heures pour achever votre formation. Retournez à présent au Glas des revenants et faites un rapport à Raulf."
5,"TEXT_CLSCUL680_02607_SEQ_05","Vous avez transmis votre savoir à Raulf, qui a décidé de tester ce plat sur un petit échantillon de personnes avant de l'ajouter of<hex:02160103>fi<hex:02160103>ciel<hex:02160103>le<hex:02160103>ment à la carte. Il est temps de mettre en application tout ce que vous avez appris à Kugane. Préparez <hex:02330FFF07>ItemHQ<hex:02F24612020203> à l'aide des ingrédients qui vous ont été remis, et donnez le tout à Raulf une fois terminé.<hex:02100103>* Si vous n'avez plus d'ingrédients, adressez-vous à Popin pour en recevoir de nouveaux."
6,"TEXT_CLSCUL680_02607_SEQ_06","Vous avez donné vos nigirizushi à Raulf. Bien que les siens ne soient pas aussi parfaits que les vôtres, l'apprenti cuisinier s'est dit confiant quant à leur goût. Retrouvez-le en terrasse où Anzu et son père ne devraient plus tarder à arriver."
7,"TEXT_CLSCUL680_02607_SEQ_07","Après avoir encensé vos sushis, Unzan a commencé à critiquer ceux de Raulf, ce qui vous a fait craindre le pire. Cependant, même si les commentaires étaient peu élogieux, il a admis que le cuisinier hyurgoth avait réalisé un travail honorable compte tenu du temps d'ap<hex:02160103>pren<hex:02160103>tis<hex:02160103>sage. Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment pour votre camarade, tous ses efforts n'auront servi à rien puisque le père d'Anzu a dit qu'il refusait de marier sa fille à un homme qui n'est pas originaire de Yanxia. Complètement abattu par les propos xénophobes d'Unzan, Raulf a décidé de ranger son tablier de cuisinier et de reprendre son activité d'aventurier. Parlez à Anzu pour connaître son ressenti."
8,"TEXT_CLSCUL680_02607_SEQ_08","Anzu a été surprise par la réaction de Raulf, mais elle pense qu'il a une idée derrière la tête. Rejoignez le Hyurgoth dans la cuisine de la maison des splendeurs de Rowena et remontez-lui le moral si besoin."
9,"TEXT_CLSCUL680_02607_SEQ_09","Si Raulf a abandonné sa tenue de cuisinier, il n'a pas pour autant abandonné tout espoir d'épouser Anzu. Les propos qu'a tenus Unzan concernant la pureté de la cuisine orientale lui ont mis la puce à l'oreille, et il pense avoir une idée qui pourrait bouleverser les convictions du vieil homme. Laissez-lui un peu de temps, que sa réflexion arrive à maturité, et repassez dans quelques jours.<hex:02100103>* Raulf propose la prochaine quête aux cuisiniers de niveau 70."
10,"TEXT_CLSCUL680_02607_SEQ_10",""
11,"TEXT_CLSCUL680_02607_SEQ_11",""
12,"TEXT_CLSCUL680_02607_SEQ_12",""
13,"TEXT_CLSCUL680_02607_SEQ_13",""
14,"TEXT_CLSCUL680_02607_SEQ_14",""
15,"TEXT_CLSCUL680_02607_SEQ_15",""
16,"TEXT_CLSCUL680_02607_SEQ_16",""
17,"TEXT_CLSCUL680_02607_SEQ_17",""
18,"TEXT_CLSCUL680_02607_SEQ_18",""
19,"TEXT_CLSCUL680_02607_SEQ_19",""
20,"TEXT_CLSCUL680_02607_SEQ_20",""
21,"TEXT_CLSCUL680_02607_SEQ_21",""
22,"TEXT_CLSCUL680_02607_SEQ_22",""
23,"TEXT_CLSCUL680_02607_SEQ_23",""
24,"TEXT_CLSCUL680_02607_TODO_00","Parler à Karaku, à Kugane"
25,"TEXT_CLSCUL680_02607_TODO_01","Trouver Shamoji dans la Mer de Rubis"
26,"TEXT_CLSCUL680_02607_TODO_02","Parler à Shamoji, à Kugane"
27,"TEXT_CLSCUL680_02607_TODO_03","Parler à Raulf, au Glas des revenants"
28,"TEXT_CLSCUL680_02607_TODO_04","<hex:020848E3E802E803FF1D>Préparer <hex:02330FFF07>ItemHQ<hex:02F24612020203><hex:FF23>Donner <hex:02330FFF07>ItemHQ<hex:03F24612020203> à Raulf<hex:03>"
29,"TEXT_CLSCUL680_02607_TODO_05","Parler à Raulf"
30,"TEXT_CLSCUL680_02607_TODO_06","Parler à Anzu"
31,"TEXT_CLSCUL680_02607_TODO_07","Parler à Raulf"
32,"TEXT_CLSCUL680_02607_TODO_08",""
33,"TEXT_CLSCUL680_02607_TODO_09",""
34,"TEXT_CLSCUL680_02607_TODO_10",""
35,"TEXT_CLSCUL680_02607_TODO_11",""
36,"TEXT_CLSCUL680_02607_TODO_12",""
37,"TEXT_CLSCUL680_02607_TODO_13",""
38,"TEXT_CLSCUL680_02607_TODO_14",""
39,"TEXT_CLSCUL680_02607_TODO_15",""
40,"TEXT_CLSCUL680_02607_TODO_16",""
41,"TEXT_CLSCUL680_02607_TODO_17",""
42,"TEXT_CLSCUL680_02607_TODO_18",""
43,"TEXT_CLSCUL680_02607_TODO_19",""
44,"TEXT_CLSCUL680_02607_TODO_20",""
45,"TEXT_CLSCUL680_02607_TODO_21",""
46,"TEXT_CLSCUL680_02607_TODO_22",""
47,"TEXT_CLSCUL680_02607_TODO_23",""
48,"TEXT_CLSCUL680_02607_RAULF_000_000","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! Aah, j'avais si peur de ne jamais vous revoir<hex:021D0103>! Figurez-vous que je me suis beaucoup entraîné depuis la dernière fois. J'ai fabriqué des udon encore, et encore... Mais mes efforts ont payé, car j'ai enfin réussi à obtenir la consistance idéale<hex:021D0103>!"
