key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_STMBDA204_02473_SEQ_00","Alphinaud réfléchit à un moyen de retrouver vos camarades."
1,"TEXT_STMBDA204_02473_SEQ_01",""
2,"TEXT_STMBDA204_02473_SEQ_02",""
3,"TEXT_STMBDA204_02473_SEQ_03",""
4,"TEXT_STMBDA204_02473_SEQ_04",""
5,"TEXT_STMBDA204_02473_SEQ_05",""
6,"TEXT_STMBDA204_02473_SEQ_06",""
7,"TEXT_STMBDA204_02473_SEQ_07",""
8,"TEXT_STMBDA204_02473_SEQ_08",""
9,"TEXT_STMBDA204_02473_SEQ_09",""
10,"TEXT_STMBDA204_02473_SEQ_10",""
11,"TEXT_STMBDA204_02473_SEQ_11",""
12,"TEXT_STMBDA204_02473_SEQ_12",""
13,"TEXT_STMBDA204_02473_SEQ_13",""
14,"TEXT_STMBDA204_02473_SEQ_14",""
15,"TEXT_STMBDA204_02473_SEQ_15",""
16,"TEXT_STMBDA204_02473_SEQ_16",""
17,"TEXT_STMBDA204_02473_SEQ_17",""
18,"TEXT_STMBDA204_02473_SEQ_18",""
19,"TEXT_STMBDA204_02473_SEQ_19",""
20,"TEXT_STMBDA204_02473_SEQ_20",""
21,"TEXT_STMBDA204_02473_SEQ_21",""
22,"TEXT_STMBDA204_02473_SEQ_22",""
23,"TEXT_STMBDA204_02473_SEQ_23",""
24,"TEXT_STMBDA204_02473_TODO_00","Parler à Lyse"
25,"TEXT_STMBDA204_02473_TODO_01","Utiliser <hex:023313FF0A>EventItem<hex:03F61E8CB3020203> près de Lyse"
26,"TEXT_STMBDA204_02473_TODO_02","Montrer <hex:023313FF0A>EventItem<hex:03F61E8CB3020203> à Karaku"
27,"TEXT_STMBDA204_02473_TODO_03","Montrer <hex:023313FF0A>EventItem<hex:03F61E8CB3020203> à Kotokaze"
28,"TEXT_STMBDA204_02473_TODO_04","Montrer <hex:023313FF0A>EventItem<hex:03F61E8CB3020203> aux capitaines<hex:02100103>de navires"
29,"TEXT_STMBDA204_02473_TODO_05","Parler à Lyse"
30,"TEXT_STMBDA204_02473_TODO_06",""
31,"TEXT_STMBDA204_02473_TODO_07",""
32,"TEXT_STMBDA204_02473_TODO_08",""
33,"TEXT_STMBDA204_02473_TODO_09",""
34,"TEXT_STMBDA204_02473_TODO_10",""
35,"TEXT_STMBDA204_02473_TODO_11",""
36,"TEXT_STMBDA204_02473_TODO_12",""
37,"TEXT_STMBDA204_02473_TODO_13",""
38,"TEXT_STMBDA204_02473_TODO_14",""
39,"TEXT_STMBDA204_02473_TODO_15",""
40,"TEXT_STMBDA204_02473_TODO_16",""
41,"TEXT_STMBDA204_02473_TODO_17",""
42,"TEXT_STMBDA204_02473_TODO_18",""
43,"TEXT_STMBDA204_02473_TODO_19",""
44,"TEXT_STMBDA204_02473_TODO_20",""
45,"TEXT_STMBDA204_02473_TODO_21",""
46,"TEXT_STMBDA204_02473_TODO_22",""
47,"TEXT_STMBDA204_02473_TODO_23",""
48,"TEXT_STMBDA204_02473_LYSE_000_001","Après un si long voyage, voilà qu'on se retrouve dans un bâtiment de style éorzéen<hex:021D0103>! Ça fait bizarre, tu ne trouves pas<hex:021D0103>?"
49,"TEXT_STMBDA204_02473_ALISAIE_000_005","Effectivement, un sort puissant d'insonorisation a été lancé ici, j'en suis sûre et certaine. Son aura est plutôt faible, mais je la ressens très distinctement."
50,"TEXT_STMBDA204_02473_TATARU_000_010","Vous savez quoi<hex:021D0103>? Cette salle de réunion me rappelle celle de la joaillerie dans laquelle je travaillais avant<hex:021D0103>!"
51,"TEXT_STMBDA204_02473_HANCOCK_000_011","Cette succursale ne propose pas que des mar<hex:02160103>chan<hex:02160103>di<hex:02160103>ses d'importation uldienne, loin de là. Nous y vendons également des produits locaux d'exception ainsi que des raretés in<hex:02160103>trou<hex:02160103>va<hex:02160103>bles ailleurs en Hingashi. N'oubliez pas d'y jeter un coup d'œil<hex:021D0103>!"
52,"TEXT_STMBDA204_02473_ALPHINAUD_000_020","Nous ferions mieux de nous séparer pour augmenter nos chances de retrouver Gosetsu et Yugiri au plus vite. Qu'en pensez-vous<hex:021D0103>?"
53,"TEXT_STMBDA204_02473_ALISAIE_000_021","Tu as tout à fait raison, mais nous devons aussi veiller à aménager notre quartier général si nous voulons avoir un point de repli viable."
54,"TEXT_STMBDA204_02473_ALPHINAUD_000_022","En effet. Tataru, tu seras en charge de notre installation à Kugane. Tu as carte blanche pour acheter tout ce que tu considères comme in<hex:02160103>dis<hex:02160103>pen<hex:02160103>sa<hex:02160103>ble."
55,"TEXT_STMBDA204_02473_ALPHINAUD_000_023","Pendant ce temps, Alisaie et moi allons passer le sud de la ville au peigne fin à la recherche de nos camarades domiens. <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, Lyse, il serait bon que vous fassiez de même dans la partie nord."
56,"TEXT_STMBDA204_02473_ALPHINAUD_000_024","Voici un signalement graphique contenant leurs portraits que j'ai griffonné durant notre voyage. Montrez-les aux gens que vous interrogerez, ce sera toujours plus simple que de tenter de les décrire verbalement."
57,"TEXT_STMBDA204_02473_LYSE_000_025","Ouah<hex:021D0103>! Je ne savais pas que tu avais un tel coup de crayon, Alphinaud<hex:021D0103>! Ces dessins ne peuvent que nous faciliter la tâche, en effet<hex:021D0103>!"
58,"TEXT_STMBDA204_02473_LYSE_000_026","Je t'attendrai devant la porte d'entrée, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Viens me voir dès que tu seras prêt<hex:020808E905FF02>e<hex:FF01><hex:03> à partir, d'accord<hex:021D0103>?"
59,"TEXT_STMBDA204_02473_TATARU_000_030","Après les Refuges des sables, des roches et des neiges, les Héritiers de la Septième Aube vont avoir un quatrième quartier général<hex:021D0103>! Vous pouvez compter sur moi pour l'équiper au mieux<hex:021D0103>!"
60,"TEXT_STMBDA204_02473_LYSE_000_027","Je ne savais pas qu'Alphinaud était aussi doué pour le dessin. On a vraiment de la chance<hex:021D0103>!"
61,"TEXT_STMBDA204_02473_LYSE_100_027","Regarde-moi ça, ces portraits sont plus vrais que nature<hex:021D0103>!"
62,"TEXT_STMBDA204_02473_SYSTEM_000_028","Vous pouvez contempler <hex:023313FF0A>EventItem<hex:03F61E8CB3020203> à tout moment durant cette quête. Utilisez-le près de Lyse pour y jeter un coup d'œil ensemble<hex:021D0103>!"
63,"TEXT_STMBDA204_02473_LYSE_100_028","Je ne savais pas qu'Alphinaud était aussi doué pour le dessin. On a vraiment de la chance<hex:021D0103>! Regarde-moi ça, ces portraits sont plus vrais que nature<hex:021D0103>!"
64,"TEXT_STMBDA204_02473_SYSTEM_200_028","Vous pouvez contempler <hex:023313FF0A>EventItem<hex:03F61E8CB3020203> à tout moment durant cette quête. Utilisez-le près de Lyse pour y jeter un coup d'œil ensemble<hex:021D0103>!"
