key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_000","Ah<hex:021D0103>! Sans vouloir exagérer, je suis tellement désœuvrée que je ne sais pas quoi faire de mon temps... C'est qu'il ne se passe pas grand-chose par ici."
1,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_010","Du travail pour moi<hex:021D0103>? Ce n'est pas de refus<hex:021D0103>! Dites-moi, en quoi puis-je vous être utile<hex:021D0103>?"
2,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_020","Ah, voilà enfin l'occasion de démontrer tout le talent et le savoir-faire de l'Onishishu<hex:021D0103>! Qu'est-ce que vous voulez que je fasse pour vous exactement<hex:021D0103>?"
3,"TEXT_CTSDDD2REWARD_00826_START_MENU_TITLE","Que voulez-vous faire<hex:021D0103>?"
4,"TEXT_CTSDDD2REWARD_00826_START_SHOP","Échanger des objets"
5,"TEXT_CTSDDD2REWARD_00826_START_SHOP2","Emporter des substrats magiques"
6,"TEXT_CTSDDD2REWARD_00826_START_EXCHANGE","Créer <hex:02330DFF05>Item<hex:02F25A7E020203>"
7,"TEXT_CTSDDD2REWARD_00826_START_EXPLAIN","En savoir plus"
8,"TEXT_CTSDDD2REWARD_00826_START_EXIT","Annuler"
9,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_030","Je pense que vous devriez d'abord vous concentrer sur votre exploration de cette étrange tour et essayer d'aller aussi haut que possible. Nous verrons plus tard ce qu'il sera possible de faire avec vos substrats."
10,"TEXT_CTSDDD2REWARD_00826_SYSTEM_000_031","Pour transformer les substrats magiques en arme, il est nécessaire d'avoir déjà franchi le 30e étage du Pilier des Cieux, ainsi que d'avoir terminé la quête qui s'ensuit."
11,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_100","Vous désirez cristalliser l'éther emmagasiné dans vos substrats magiques<hex:021D0103>? Il semble ef<hex:02160103>fec<hex:02160103>ti<hex:02160103>ve<hex:02160103>ment y en avoir suf<hex:02160103>fi<hex:02160103>sam<hex:02160103>ment. Bien, ouvrez grand vos yeux, je vais vous faire une dé<hex:02160103>mon<hex:02160103>stra<hex:02160103>tion du savoir-faire de l'Onishishu<hex:021D0103>!"
12,"TEXT_CTSDDD2REWARD_00826_TEST_EXCHANGE_MENU_TITLE","Créer <hex:02330DFF05>Item<hex:02F25A7E020203><hex:021D0103>?<hex:02100103><hex:024804F201F403><hex:024904F201F503>* Les degrés d'amélioration des substrats magiques seront chacun réduits de 10 points.<hex:0249020103><hex:0248020103>"
13,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_100_110","Vous désirez cristalliser l'éther emmagasiné dans les substrats magiques<hex:021D0103>? Je crains hélas qu'il vous soit nécessaire d'aller plus haut dans votre exploration du Pilier des Cieux avant que je puisse vous aider..."
14,"TEXT_CTSDDD2REWARD_00826_SYSTEM_100_111","Pour créer <hex:02330DFF05>Item<hex:02F25A7E020203>, vous devez avoir franchi l'étage 30 du Pilier des Cieux et terminé la quête qui s'ensuit."
15,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_110","Je suis désolée, mais vos substrats magiques n'ont pas accumulé suf<hex:02160103>fi<hex:02160103>sam<hex:02160103>ment d'éther pour que cette énergie puisse être cristallisée. Vous devriez sans doute retourner dans le Pilier des Cieux et poursuivre votre exploration."
16,"TEXT_CTSDDD2REWARD_00826_SYSTEM_000_111","Pour créer <hex:02330DFF05>Item<hex:02F25A7E020203>, chacun de vos substrats magiques doit avoir au moins atteint le degré d'amélioration 10."
17,"TEXT_CTSDDD2REWARD_00826_ABOUT_MENU_TITLE","Sur quoi vous renseignez-vous<hex:021D0103>?"
18,"TEXT_CTSDDD2REWARD_00826_START_ABOUT_TOKEN","Les échanges d'objets"
19,"TEXT_CTSDDD2REWARD_00826_START_ABOUT","Emporter des substrats magiques"
20,"TEXT_CTSDDD2REWARD_00826_ABOUT_BACK","Retour"
21,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_150","Si vous m'apportez <hex:02330DFF05>Item<hex:03F25A7C030203> que vous trouvez dans le Pilier des Cieux, je vous les échangerai contre des articles très spéciaux que je garde en réserve."
22,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_151","Ils recèlent une puissante énergie magique et ont divers usages, alors considérez que vous n'y perdrez pas au change."
23,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_160","On trouve divers objets de grande valeur dans le Pilier des Cieux, dont notamment <hex:02330DFF05>Item<hex:03F25A7C030203>."
24,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_161","Si vous me les apportez, je pourrai les utiliser pour fabriquer, grâce au savoir-faire que j'ai acquis au sein de l'Onishishu, des articles qui vous seront très utiles dans votre exploration des lieux."
25,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_200","Vous voulez utiliser vos substrats magiques hors du Pilier des Cieux<hex:021D0103>? Pour cela, il est nécessaire de cristalliser l'éther qu'ils recèlent au préalable, chose assez difficile pour nous autres, euh, pirates de la Confédération..."
26,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_000_201","Je pense que vous devriez d'abord vous concentrer sur votre exploration de cette étrange tour et essayer d'aller aussi haut que possible. Nous verrons plus tard ce qu'il sera possible de faire avec vos substrats."
27,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_100_200","Vous souhaitez utiliser vos substrats magiques hors du Pilier des Cieux<hex:021D0103>? Dans ce cas, vous devez y accumuler autant d'éther que possible. Il faudra ensuite cristalliser cette énergie."
28,"TEXT_CTSDDD2REWARD_00826_DD2SHOP_100_201","Je pourrai alors employer une technique acquise au sein de l'Onishishu pour modeler cet éther cristallisé en arme. N'hésitez pas à venir me voir lorsque vous voudrez effectuer cette opération."
29,"TEXT_CTSDDD2REWARD_00826_SYSTEM_000_203","<hex:022B13FF11><hex:02330DFF05>Item<hex:02F25A7E030203><hex:03> sont nécessaires pour utiliser une arme (ou arme et bouclier) hors du Pilier des Cieux."
30,"TEXT_CTSDDD2REWARD_00826_SYSTEM_000_204","La création d'<hex:02330DFF05>Item<hex:02F25A7E020203> consomme 10 degrés d'amélioration de chacun des deux substrats magiques."
31,"TEXT_CTSDDD2REWARD_00826_SYSTEM_000_205","Pour cela, vous devez préalablement avoir franchi l'étage 30 du Pilier des Cieux et terminé la quête qui s'ensuit."
