key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANLOP004_04684_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>Règle spéciale<hex:021D0103>:  synchronisation de quête avec limitation de job ou de classe<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Dreamingway aurait besoin de votre aide pour construire la prochaine station des Ateliers Dreaming."
1,"TEXT_BANLOP004_04684_SEQ_01","* <hex:021A020203>Cette quête est <hex:024804F201FC03><hex:024904F201FD03> synchronisée<hex:0249020103><hex:0248020103> avec votre niveau.<hex:021A020103><hex:02100103>* <hex:021A020203>Il n'est possible de progresser dans cette quête qu'avec la classe ou le job qui a servi à la commencer.<hex:021A020103> <hex:02100103><hex:02100103>Dreamingway est intrigué par le mystérieux Loporrite loqueteux qui semble parfois rôder autour des Ateliers Dreaming. Rendez-vous à l'endroit indiqué près du palais du Veilleur afin de le débusquer."
2,"TEXT_BANLOP004_04684_SEQ_02","Vous êtes parvenus à trouver le Loporrite loqueteux et à converser avec lui. Il n'a malheureusement pas répondu favorablement à votre invitation. Discutez avec Dreamingway de la prochaine étape de votre plan."
3,"TEXT_BANLOP004_04684_SEQ_03","Rendez-vous au halot de Bestway afin d'y retrouver Dreamingway et interroger Livingway au sujet du Loporrite loqueteux."
4,"TEXT_BANLOP004_04684_SEQ_04","Retournez au Berceau des espoirs pour décider avec Dreamingway de la suite à donner à cette affaire."
5,"TEXT_BANLOP004_04684_SEQ_05","Le Loporrite loqueteux n'étant pas le seul à être encore dépourvu de passion, Dreamingway et vous-même en avez conclu que réunir vos amis aux longues oreilles autour d'un projet de peinture encouragerait leur expression personnelle. Le Carrotorium semble tout indiqué pour trouver des Loporrites po<hex:02160103>ten<hex:02160103>tiel<hex:02160103>le<hex:02160103>ment intéressés."
6,"TEXT_BANLOP004_04684_SEQ_06","Vous vous êtes démené<hex:020808E905FF02>e<hex:FF01><hex:03> pour inviter des Loporrites apathiques. Retournez au Berceau des espoirs et faites le point avec Dreamingway."
7,"TEXT_BANLOP004_04684_SEQ_07","Comme convenu avec Dreamingway, fabriquez l'élément nécessaire à la nouvelle station et remettez-le-lui au Berceau des espoirs."
8,"TEXT_BANLOP004_04684_SEQ_08","Dreamingway a bien reçu votre livraison de matériel pour la nouvelle station artistique. Grâce à vous, plusieurs Loporrites s'amusent déjà à barbouiller tout ce qui les entoure. Dans cette émulsion de créativité, personne n'est à l'abri de devenir une œuvre abstraite<hex:021D0103>! Vos amis tout doux comptent toujours sur votre aide pour découvrir leurs rêves<hex:021D0103>!"
9,"TEXT_BANLOP004_04684_SEQ_09",""
10,"TEXT_BANLOP004_04684_SEQ_10",""
11,"TEXT_BANLOP004_04684_SEQ_11",""
12,"TEXT_BANLOP004_04684_SEQ_12",""
13,"TEXT_BANLOP004_04684_SEQ_13",""
14,"TEXT_BANLOP004_04684_SEQ_14",""
15,"TEXT_BANLOP004_04684_SEQ_15",""
16,"TEXT_BANLOP004_04684_SEQ_16",""
17,"TEXT_BANLOP004_04684_SEQ_17",""
18,"TEXT_BANLOP004_04684_SEQ_18",""
19,"TEXT_BANLOP004_04684_SEQ_19",""
20,"TEXT_BANLOP004_04684_SEQ_20",""
21,"TEXT_BANLOP004_04684_SEQ_21",""
22,"TEXT_BANLOP004_04684_SEQ_22",""
23,"TEXT_BANLOP004_04684_SEQ_23",""
24,"TEXT_BANLOP004_04684_TODO_00","Observer les environs à l'endroit indiqué"
25,"TEXT_BANLOP004_04684_TODO_01","Parler à Dreamingway"
26,"TEXT_BANLOP004_04684_TODO_02","Reparler à Dreamingway"
27,"TEXT_BANLOP004_04684_TODO_03","Parler encore une fois à Dreamingway"
28,"TEXT_BANLOP004_04684_TODO_04","Recruter des Loporrites"
29,"TEXT_BANLOP004_04684_TODO_05","Parler à Dreamingway"
30,"TEXT_BANLOP004_04684_TODO_06","<hex:0208F202C8E4E8050AFF4C><hex:020848E3E802E803FF1A>Fabriquer <hex:02330CFF05>Item<hex:02E806020203><hex:FF26>Livrer <hex:02330CFF05>Item<hex:03E806020203> à Dreamingway<hex:03><hex:FFF20273><hex:0208F2026DE4E8050BFF4C><hex:020848E3E802E803FF1A>Fabriquer <hex:02330CFF05>Item<hex:02E806020203><hex:FF26>Livrer <hex:02330CFF05>Item<hex:03E806020203> à Dreamingway<hex:03><hex:FFF20218><hex:0208F20212E4E8050CFF4C><hex:020848E3E802E803FF1A>Fabriquer <hex:02330CFF05>Item<hex:02E806020203><hex:FF26>Livrer <hex:02330CFF05>Item<hex:03E806020203> à Dreamingway<hex:03><hex:FFF201BD><hex:0208F201B7E4E80509FF4C><hex:020848E3E802E803FF1A>Fabriquer <hex:02330CFF05>Item<hex:02E806020203><hex:FF26>Livrer <hex:02330CFF05>Item<hex:03E806020203> à Dreamingway<hex:03><hex:FFF20162><hex:0208F2015CE4E8050DFF4C><hex:020848E3E802E803FF1A>Fabriquer <hex:02330CFF05>Item<hex:02E806020203><hex:FF26>Livrer <hex:02330CFF05>Item<hex:03E806020203> à Dreamingway<hex:03><hex:FFF20107><hex:0208F20101E4E8050EFF4C><hex:020848E3E802E803FF1A>Fabriquer <hex:02330CFF05>Item<hex:02E806020203><hex:FF26>Livrer <hex:02330CFF05>Item<hex:03E806020203> à Dreamingway<hex:03><hex:FFAF><hex:0208ABE4E8050FFF4C><hex:020848E3E802E803FF1A>Fabriquer <hex:02330CFF05>Item<hex:02E806020203><hex:FF26>Livrer <hex:02330CFF05>Item<hex:03E806020203> à Dreamingway<hex:03><hex:FF58><hex:020854E4E80510FF4C><hex:020848E3E802E803FF1A>Fabriquer <hex:02330CFF05>Item<hex:02E806020203><hex:FF26>Livrer <hex:02330CFF05>Item<hex:03E806020203> à Dreamingway<hex:03><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03>"
31,"TEXT_BANLOP004_04684_TODO_07",""
32,"TEXT_BANLOP004_04684_TODO_08",""
33,"TEXT_BANLOP004_04684_TODO_09",""
34,"TEXT_BANLOP004_04684_TODO_10",""
35,"TEXT_BANLOP004_04684_TODO_11",""
36,"TEXT_BANLOP004_04684_TODO_12",""
37,"TEXT_BANLOP004_04684_TODO_13",""
38,"TEXT_BANLOP004_04684_TODO_14",""
39,"TEXT_BANLOP004_04684_TODO_15",""
40,"TEXT_BANLOP004_04684_TODO_16",""
41,"TEXT_BANLOP004_04684_TODO_17",""
42,"TEXT_BANLOP004_04684_TODO_18",""
43,"TEXT_BANLOP004_04684_TODO_19",""
44,"TEXT_BANLOP004_04684_TODO_20",""
45,"TEXT_BANLOP004_04684_TODO_21",""
46,"TEXT_BANLOP004_04684_TODO_22",""
47,"TEXT_BANLOP004_04684_TODO_23",""
