key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_JOBDRK400_02056_SEQ_00","Comme à son habitude, Fray est heureux de vous voir."
1,"TEXT_JOBDRK400_02056_SEQ_01","Fray savait que vous n'aviez pas entendu la voix depuis votre précédente rencontre, mais il s'est montré rassurant. Il vous a donné rendez-vous au Mur incandescent, dans le Thanalan oriental, pour procéder de nouveau au rituel de la Communion."
2,"TEXT_JOBDRK400_02056_SEQ_02","Comme la dernière fois, Fray veut que vous fassiez couler le sang avant de commencer le rituel. Allez vous positionner à l'endroit indiqué et massacrez les becs-pics qui vous attaqueront."
3,"TEXT_JOBDRK400_02056_SEQ_03","Vous êtes venu<hex:020808E905FF02>e<hex:FF01><hex:03> à bout du duo de becs-pics. Allez retrouver Fray."
4,"TEXT_JOBDRK400_02056_SEQ_04","Fray a remarqué que vous étiez passablement irrité<hex:020808E905FF02>e<hex:FF01><hex:03> par les “épreuves” auxquelles il vous soumet. Il vous a demandé de ne pas oublier ce sentiment et d'aller le retrouver au camp des Os desséchés pour le rituel."
5,"TEXT_JOBDRK400_02056_SEQ_05","Alors que vous étiez sur le point de communier avec Fray, vous avez été interrompu<hex:020808E905FF02>e<hex:FF01><hex:03> par Isembard, qui vous a demandé d'aller sauver des pèlerins tenus captifs par des Amalj'aa. Allez retrouver Fray au campement des hommes-bêtes, au sud-est du camp des Os desséchés."
6,"TEXT_JOBDRK400_02056_SEQ_06","Accompagné<hex:020808E905FF02>e<hex:FF01><hex:03> de Fray, vous avez réussi à vous introduire dans le campement amalj'aa et à libérer les pèlerins, malgré les renforts appelés par le chef des hommes-bêtes. Parlez à votre mentor, qui vous attend à la sortie du campement."
7,"TEXT_JOBDRK400_02056_SEQ_07","Fray vous a fait remarquer que vous étiez couvert<hex:020808E905FF02>e<hex:FF01><hex:03> du sang des Amalj'aa que vous avez massacrés au campement, ajoutant qu'il n'y avait pas de honte à prendre du plaisir à être violent. Retournez au camp des Os desséchés pour annoncer à Isembard votre succès."
8,"TEXT_JOBDRK400_02056_SEQ_08","Isembard semblait décontenancé à la vue de votre armure recouverte de sang. Il vous a remercié<hex:020808E905FF02>e<hex:FF01><hex:03> sans demander son reste. Allez trouver votre maître, car l'heure du rituel est enfin venue."
9,"TEXT_JOBDRK400_02056_SEQ_09","Fray vous a appris que la voie du chevalier noir requiert de nombreux sacrifices... Fermez les yeux, respirez pro<hex:02160103>fon<hex:02160103>dé<hex:02160103>ment, concentrez-vous et entrez en communion avec lui."
10,"TEXT_JOBDRK400_02056_SEQ_10","En communiant avec Fray, vous avez pu entendre la voix, une fois de plus, mais vous ne savez toujours pas à qui elle appartient. Votre mentor vous a alors conseillé de penser à ce qui comptait vraiment pour vous, car vous ne pourrez pas porter un tel fardeau sur vos épaules éter<hex:02160103>nel<hex:02160103>le<hex:02160103>ment. Tenez compte de son avertissement avant qu'il ne soit trop tard...<hex:02100103>* Fray propose la prochaine quête aux chevaliers noirs de niveau 45."
11,"TEXT_JOBDRK400_02056_SEQ_11",""
12,"TEXT_JOBDRK400_02056_SEQ_12",""
13,"TEXT_JOBDRK400_02056_SEQ_13",""
14,"TEXT_JOBDRK400_02056_SEQ_14",""
15,"TEXT_JOBDRK400_02056_SEQ_15",""
16,"TEXT_JOBDRK400_02056_SEQ_16",""
17,"TEXT_JOBDRK400_02056_SEQ_17",""
18,"TEXT_JOBDRK400_02056_SEQ_18",""
19,"TEXT_JOBDRK400_02056_SEQ_19",""
20,"TEXT_JOBDRK400_02056_SEQ_20",""
21,"TEXT_JOBDRK400_02056_SEQ_21",""
22,"TEXT_JOBDRK400_02056_SEQ_22",""
23,"TEXT_JOBDRK400_02056_SEQ_23",""
24,"TEXT_JOBDRK400_02056_TODO_00","Retrouver Fray au Mur incandescent"
25,"TEXT_JOBDRK400_02056_TODO_01","Attendre à l'endroit indiqué"
26,"TEXT_JOBDRK400_02056_TODO_02","Parler à Fray"
27,"TEXT_JOBDRK400_02056_TODO_03","Parler à Fray, au camp des Os desséchés"
28,"TEXT_JOBDRK400_02056_TODO_04","Parler à Fray, près du campement amalj'aa"
29,"TEXT_JOBDRK400_02056_TODO_05","Parler à Fray"
30,"TEXT_JOBDRK400_02056_TODO_06","Parler à Isembard"
31,"TEXT_JOBDRK400_02056_TODO_07","Parler à Fray"
32,"TEXT_JOBDRK400_02056_TODO_08","Entrer en communion avec Fray"
33,"TEXT_JOBDRK400_02056_TODO_09",""
34,"TEXT_JOBDRK400_02056_TODO_10",""
35,"TEXT_JOBDRK400_02056_TODO_11",""
36,"TEXT_JOBDRK400_02056_TODO_12",""
37,"TEXT_JOBDRK400_02056_TODO_13",""
38,"TEXT_JOBDRK400_02056_TODO_14",""
39,"TEXT_JOBDRK400_02056_TODO_15",""
40,"TEXT_JOBDRK400_02056_TODO_16",""
41,"TEXT_JOBDRK400_02056_TODO_17",""
42,"TEXT_JOBDRK400_02056_TODO_18",""
43,"TEXT_JOBDRK400_02056_TODO_19",""
44,"TEXT_JOBDRK400_02056_TODO_20",""
45,"TEXT_JOBDRK400_02056_TODO_21",""
46,"TEXT_JOBDRK400_02056_TODO_22",""
47,"TEXT_JOBDRK400_02056_TODO_23",""
48,"TEXT_JOBDRK400_02056_FRAY_000_000","Tu as bonne mine, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Je peux lire ta détermination sur ton visage."
49,"TEXT_JOBDRK400_02056_FRAY_000_001","Je sais, tu n'as pas entendu la voix depuis notre dernière rencontre. Ne t'en fais pas."
50,"TEXT_JOBDRK400_02056_FRAY_000_002","Si ton affinité avec ton côté obscur est aussi forte que je le crois, notre prochaine Communion devrait t'apporter des réponses."
51,"TEXT_JOBDRK400_02056_FRAY_000_003","Avant d'accomplir le rituel, retrouvons-nous au Mur incandescent, dans le Thanalan oriental."
52,"TEXT_JOBDRK400_02056_FRAY_000_010","Comme la dernière fois, le sang doit couler par ta main pour affirmer ta véritable nature avant le rituel."
53,"TEXT_JOBDRK400_02056_FRAY_000_011","On trouve des becs-pics par<hex:02160103>ti<hex:02160103>cu<hex:02160103>liè<hex:02160103>rement voraces, par ici. Ces volatiles sont d'une grande cruauté et ils chassent animaux et humains sans distinction."
54,"TEXT_JOBDRK400_02056_FRAY_000_012","Offre-toi à eux. Ils ne tarderont pas à t'attaquer."
55,"TEXT_JOBDRK400_02056_FRAY_000_013","Ce ne sera pas sans risque, mais tu dois apprendre à savourer ces moments."
56,"TEXT_JOBDRK400_02056_FRAY_000_020","Assez parlé, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>."
57,"TEXT_JOBDRK400_02056_FRAY_000_030","Ha ha ha<hex:021D0103>! Voilà <hex:02080BE905FF03>la<hex:FF03>le<hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> que je voulais voir<hex:021D0103>!"
