key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_FESNYR601_03176_SEQ_00","<hex:021A020203>Cette quête est un événement à durée limitée.<hex:021A020103><hex:02100103><hex:02100103>Le maréchal des rats a besoin de votre aide pour assurer le succès de la fête de la transition."
1,"TEXT_FESNYR601_03176_SEQ_01","* Cette quête ne peut être commencée et effectuée que pendant la durée de l'événement saisonnier correspondant. Pour plus de détails, veuillez consulter The Lodestone.<hex:02100103><hex:02100103>Le maréchal des rats est venu faire déguster aux Limséens du mochi de la transition, préparé par... des rats<hex:021D0103>! Les habitants semblent réticents à goûter ses gâteaux, ce qui peut se comprendre, mais le maréchal ne s'avoue pas vaincu pour autant. Il vous envoie donc mener l'enquête, qui commence par une discussion avec Imania à la Dunette."
2,"TEXT_FESNYR601_03176_SEQ_02","Vous avez abordé avec Imania la question des gâteaux fabriqués par des rats. Elle vous a expliqué tout le mal qu'elle pense de ces rongeurs et vous a invité à constater qu'elle n'est pas la seule de cet avis en allant discuter avec Klindrael, qui se trouve non loin de là."
3,"TEXT_FESNYR601_03176_SEQ_03","Même son de cloche chez Klindrael, qui vous confirme que les rats ne sont pas en odeur de sainteté auprès des Limséens. Cependant, Klindrael vous a invité à discuter avec les Qiqirns, dont la présence rebute bien moins les locaux. Allez voir Neneroon qui se trouve au nord de La Dunette."
4,"TEXT_FESNYR601_03176_SEQ_04","Neneroon, un Qiqirn, s'est porté volontaire pour aider à redorer le blason des rats, espérant que son peuple souvent assimilé à cet animal profite de ce regain de popularité. Il vous a demandé de faire les pré<hex:02160103>sen<hex:02160103>ta<hex:02160103>tions. Allez parler au maréchal des rats, à La Dunette."
5,"TEXT_FESNYR601_03176_SEQ_05","Alors que vous discutiez avec le maréchal, le maître du mochi vous a informé que le mochi qu'il préparait a pris vie et sème la panique dans la Noscea centrale. Il ne tient qu'à vous de sauver la fête de la transition en terminant l'ALÉA “le rat-goûtant riz gluant” à la Dérive du Zéphyr."
6,"TEXT_FESNYR601_03176_SEQ_06","Vous avez neutralisé la menace du gros gluant géant de riz et l'avez découpé en de beaux carrés appétissants de kirimochi. Allez annoncer la bonne nouvelle au maréchal des rats."
7,"TEXT_FESNYR601_03176_SEQ_07","Pour reprendre le vieil adage, la fortune des rats sourit aux audacieux rongeurs, car après avoir goûté aux gâteaux, c'est nul autre que Lyngsath, le maître de la guilde des cuisiniers en personne, qui s'est proposé d'en faire la promotion auprès de la populace<hex:021D0103>! Alors que la liesse s'empare du maréchal et de votre nouvel ami au long museau, quelque chose vous dit que la menace du mochi prenant vie n'est pas encore tout à fait levée..."
8,"TEXT_FESNYR601_03176_SEQ_08",""
9,"TEXT_FESNYR601_03176_SEQ_09",""
10,"TEXT_FESNYR601_03176_SEQ_10",""
11,"TEXT_FESNYR601_03176_SEQ_11",""
12,"TEXT_FESNYR601_03176_SEQ_12",""
13,"TEXT_FESNYR601_03176_SEQ_13",""
14,"TEXT_FESNYR601_03176_SEQ_14",""
15,"TEXT_FESNYR601_03176_SEQ_15",""
16,"TEXT_FESNYR601_03176_SEQ_16",""
17,"TEXT_FESNYR601_03176_SEQ_17",""
18,"TEXT_FESNYR601_03176_SEQ_18",""
19,"TEXT_FESNYR601_03176_SEQ_19",""
20,"TEXT_FESNYR601_03176_SEQ_20",""
21,"TEXT_FESNYR601_03176_SEQ_21",""
22,"TEXT_FESNYR601_03176_SEQ_22",""
23,"TEXT_FESNYR601_03176_SEQ_23",""
24,"TEXT_FESNYR601_03176_TODO_00","Parler à Imania"
25,"TEXT_FESNYR601_03176_TODO_01","Parler à Klindrael"
26,"TEXT_FESNYR601_03176_TODO_02","Parler à Neneroon"
27,"TEXT_FESNYR601_03176_TODO_03","Retourner voir le maréchal des rats"
28,"TEXT_FESNYR601_03176_TODO_04","Accomplir l'ALÉA “Le rat-goûtant riz gluant”, dans la Noscea centrale"
29,"TEXT_FESNYR601_03176_TODO_05","Parler au maréchal des rats, à Limsa Lominsa"
30,"TEXT_FESNYR601_03176_TODO_06",""
31,"TEXT_FESNYR601_03176_TODO_07",""
32,"TEXT_FESNYR601_03176_TODO_08",""
33,"TEXT_FESNYR601_03176_TODO_09",""
34,"TEXT_FESNYR601_03176_TODO_10",""
35,"TEXT_FESNYR601_03176_TODO_11",""
36,"TEXT_FESNYR601_03176_TODO_12",""
37,"TEXT_FESNYR601_03176_TODO_13",""
38,"TEXT_FESNYR601_03176_TODO_14",""
39,"TEXT_FESNYR601_03176_TODO_15",""
40,"TEXT_FESNYR601_03176_TODO_16",""
41,"TEXT_FESNYR601_03176_TODO_17",""
42,"TEXT_FESNYR601_03176_TODO_18",""
43,"TEXT_FESNYR601_03176_TODO_19",""
44,"TEXT_FESNYR601_03176_TODO_20",""
45,"TEXT_FESNYR601_03176_TODO_21",""
46,"TEXT_FESNYR601_03176_TODO_22",""
47,"TEXT_FESNYR601_03176_TODO_23",""
48,"TEXT_FESNYR601_03176_MOUSEMISSIONARY_000_001","Oh, tiens<hex:021D0103>! Dites... Vous m'avez l'air d'avoir roulé votre bosse, je parie que vous êtes <hex:020824E905FF11>une aventurière<hex:FF0E>un aventurier<hex:03><hex:021D0103>! Auriez-vous un peu de temps à me consacrer<hex:021D0103>?"
49,"TEXT_FESNYR601_03176_MOUSEMISSIONARY_000_002","Dire que nous sommes déjà à l'aube d'une nouvelle année... Là d'où je viens, en Orient, chaque année est symbolisée par un animal, et non pas par l'un des douze dieux comme en Éorzéa."
50,"TEXT_FESNYR601_03176_MOUSEMISSIONARY_000_003","Cette fois, l'heureux élu est... le rat<hex:021D0103>! Et afin de partager ces augures festifs au-delà de ma terre natale, j'ai choisi ce rat-vissant couvre-chef murin."
51,"TEXT_FESNYR601_03176_MOUSEMISSIONARY_000_004","Cependant, tout ne se passe pas aussi bien que je l'espérais..."
52,"TEXT_FESNYR601_03176_MOUSEMISSIONARY_000_005","Voyez-vous, en Orient, le rat est considéré comme un symbole de fécondité et de bonne fortune. Je voulais offrir aux Éorzéens l'occasion de recevoir cette bénédiction en pilonnant le traditionnel mochi avec ces braves rongeurs."
53,"TEXT_FESNYR601_03176_MOUSEMISSIONARY_000_006","Mais à ma grande surprise, tous ceux que j'ai approchés m'ont fui comme la peste après avoir entendu ma proposition<hex:021D0103>! Si certains semblaient intéressés au départ, la simple mention de ces petits rongeurs a même fait rat-valer leur salive aux plus gourmands."
54,"TEXT_FESNYR601_03176_MOUSEMISSIONARY_000_007","Je ne m'en explique pas vraiment la raison... Se pourrait-il qu'en Éorzéa, le rat ne jouisse pas d'une bonne réputation<hex:021D0103>?"
55,"TEXT_FESNYR601_03176_MOUSEMISSIONARY_000_008","C'est pour cela que j'aurais besoin de votre aide<hex:021D0103>! Pourriez-vous aller demander aux habitants pourquoi des gâteaux au mochi préparés par des rats les révulsent à ce point<hex:021D0103>?"
