key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_FESHLX102_05376_SEQ_00","* <hex:021A020203>Cette quête est un événement à durée limitée.<hex:021A020103><hex:02100103><hex:02100103>La femme à tête de citrouille a besoin de votre aide pour apaiser les tensions au manoir abandonné."
1,"TEXT_FESHLX102_05376_SEQ_01","Cette quête ne peut être commencée et effectuée que pendant la durée de l'événement saisonnier correspondant. Pour plus de détails, veuillez consulter The Lodestone.<hex:02100103><hex:02100103>Désormais en possession de tous les éléments nécessaires pour son “chef-d'œuvre”, la femme à tête de citrouille vous a demandé de retourner au manoir abandonné, en vous promettant une livraison très spéciale. Retournez donc auprès de l'impresario pour l'informer de vos progrès.<hex:02100103> * Si vous avez quitté la zone, adressez-vous au guide du bal costumé, à l'amphithéâtre de Mih Khetto, pour y revenir."
2,"TEXT_FESHLX102_05376_SEQ_02","Alors que vous racontiez à l'impresario la teneur de vos échanges avec l'amatrice de cucurbitacées, l'un de ses serviteurs est arrivé avec une marionnette démesurée. À votre grande surprise, vous avez découvert que ce pantin à l'effigie du responsable du Cirque intercontinental pouvait lancer de puissants sorts d'illusion. Sans hésiter, vous avez accepté de l'utiliser pour calmer les fauteurs de troubles et rassurer les visiteurs. Adressez-vous de nouveau à l'impresario pour qu'il vous aide à monter sur l'imposante citrouille ambulante."
3,"TEXT_FESHLX102_05376_SEQ_03","L'impresario vous a aidé<hex:020808E905FF02>e<hex:FF01><hex:03> à monter sur la marionnette magique fabriquée à son image. Utilisez “Des bonbons” pour rassurer les visiteurs et “La trouille” pour calmer les membres de la troupe, en commençant par l'étage du manoir où l'agitation est à son comble.<hex:02100103>* Si vous descendez de la citrouille ambulante, parlez à l'impresario pour remonter dessus."
4,"TEXT_FESHLX102_05376_SEQ_04","Les illusions de la citrouille ambulante vous ont aidé<hex:020808E905FF02>e<hex:FF01><hex:03> à calmer la situation à l'étage du manoir. Toujours sur votre monture, rendez-vous maintenant au rez-de-chaussée pour pacifier cette partie du bâtiment en utilisant “Des bonbons” ou “La trouille” sur les bonnes personnes."
5,"TEXT_FESHLX102_05376_SEQ_05","Grâce à vos efforts et aux illusions de la citrouille ambulante, la paix est enfin revenue dans la demeure délabrée. Sans plus attendre, retournez auprès de l'impresario à l'entrée du manoir."
6,"TEXT_FESHLX102_05376_SEQ_06","Après un bref rappel à l'ordre, les membres de la troupe du Cirque intercontinental ont repris leurs numéros avec comme mot d'ordre de divertir plutôt que de semer la frayeur chez les visiteurs. Grâce à votre in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion, la Veillée des saints va pouvoir se poursuivre comme d'habitude. L'impresario vous a témoigné sa gratitude et a exprimé son souhait de remercier également la créatrice de la marionnette insolite. Retrouvez-le donc à l'amphithéâtre de Mih Khetto pour le présenter à la femme à tête de citrouille."
7,"TEXT_FESHLX102_05376_SEQ_07","Alors que vous discutiez avec la femme à tête de citrouille et l'impresario, vous avez constaté avec joie que, grâce à votre in<hex:02160103>ter<hex:02160103>ven<hex:02160103>tion et à la motivation des saltimbanques, le manoir abandonné était désormais l'attraction phare de cette Veillée des saints. Vous avez enrichi votre collection de montures d'une citrouille ambulante, qui ne manquera pas de faire la publicité du Cirque intercontinental lors de vos pérégrinations. Il ne vous reste plus qu'à profiter du temps qu'il vous reste pour visiter de nouveau le manoir ou vous rendre dans le domaine de la femme à tête de citrouille pour un bal costumé peu ordinaire."
8,"TEXT_FESHLX102_05376_SEQ_08",""
9,"TEXT_FESHLX102_05376_SEQ_09",""
10,"TEXT_FESHLX102_05376_SEQ_10",""
11,"TEXT_FESHLX102_05376_SEQ_11",""
12,"TEXT_FESHLX102_05376_SEQ_12",""
13,"TEXT_FESHLX102_05376_SEQ_13",""
14,"TEXT_FESHLX102_05376_SEQ_14",""
15,"TEXT_FESHLX102_05376_SEQ_15",""
16,"TEXT_FESHLX102_05376_SEQ_16",""
17,"TEXT_FESHLX102_05376_SEQ_17",""
18,"TEXT_FESHLX102_05376_SEQ_18",""
19,"TEXT_FESHLX102_05376_SEQ_19",""
20,"TEXT_FESHLX102_05376_SEQ_20",""
21,"TEXT_FESHLX102_05376_SEQ_21",""
22,"TEXT_FESHLX102_05376_SEQ_22",""
23,"TEXT_FESHLX102_05376_SEQ_23",""
24,"TEXT_FESHLX102_05376_TODO_00","Parler à l'impresario, au manoir abandonné"
25,"TEXT_FESHLX102_05376_TODO_01","Reparler à l'impresario"
26,"TEXT_FESHLX102_05376_TODO_02","Monter sur la citrouille ambulante et utiliser “Des bonbons” sur le visiteur à l'étage"
27,"TEXT_FESHLX102_05376_TODO_03","Monter sur la citrouille ambulante et utiliser “La trouille” sur le saltimbanque à l'étage"
28,"TEXT_FESHLX102_05376_TODO_04","Monter sur la citrouille ambulante et utiliser “Des bonbons” sur le visiteur au rez-de-chaussée"
29,"TEXT_FESHLX102_05376_TODO_05","Monter sur la citrouille ambulante et utiliser “La trouille” sur les saltimbanques au rez-de-chaussée"
30,"TEXT_FESHLX102_05376_TODO_06","Parler à l'impresario"
31,"TEXT_FESHLX102_05376_TODO_07","Parler à l'impresario, à l'amphithéâtre de Mih Khetto"
32,"TEXT_FESHLX102_05376_TODO_08",""
33,"TEXT_FESHLX102_05376_TODO_09",""
34,"TEXT_FESHLX102_05376_TODO_10",""
35,"TEXT_FESHLX102_05376_TODO_11",""
36,"TEXT_FESHLX102_05376_TODO_12",""
37,"TEXT_FESHLX102_05376_TODO_13",""
38,"TEXT_FESHLX102_05376_TODO_14",""
39,"TEXT_FESHLX102_05376_TODO_15",""
40,"TEXT_FESHLX102_05376_TODO_16",""
41,"TEXT_FESHLX102_05376_TODO_17",""
42,"TEXT_FESHLX102_05376_TODO_18",""
43,"TEXT_FESHLX102_05376_TODO_19",""
44,"TEXT_FESHLX102_05376_TODO_20",""
45,"TEXT_FESHLX102_05376_TODO_21",""
46,"TEXT_FESHLX102_05376_TODO_22",""
47,"TEXT_FESHLX102_05376_TODO_23",""
48,"TEXT_FESHLX102_05376_IMPHEAD_000_000","Réfléchissons chacun de notre côté à un moyen d'empêcher que la situation empire... En attendant un éventuel éclair de génie, je vais continuer d'empêcher les visiteurs de s'aventurer dans le manoir."
49,"TEXT_FESHLX102_05376_VISITORA05376_000_001","Aah... J'aurais mieux fait de me casser un bras plutôt que de participer à leur prétendue “fête inoubliable”<hex:021D0103>!"
50,"TEXT_FESHLX102_05376_VISITORD05376_000_002","Pas d'élixir ici non plus... Si j'en donne un à la bestiole dans le pot, vous pensez qu'elle exaucera un de mes souhaits<hex:021D0103>?"
51,"TEXT_FESHLX102_05376_ZOMBIE_000_003","Ah, mais sous cette forme, je ne peux pas m'arracher un œil... Je vais donc devoir reprendre mon apparence normale, hé hé hé..."
52,"TEXT_FESHLX102_05376_PUDDING_000_004","Tout le monde en bouillie<hex:021D0103>! Cette nuit, personne n'a le droit de gâcher notre fête<hex:021D0103>!"
