key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSHWDLOT_00637_LIZBETH_000_000","Un peu de patience, s'il vous plaît<hex:021D0103>! Je suis en train de préparer une surprise dont vous me direz des nouvelles<hex:021D0103>!"
1,"TEXT_CTSHWDLOT_00637_LIZBETH_010_000","Si c'est des noix de kupo que vous cherchez, je crains de ne pas pouvoir vous aider, mais si vous voulez jouer au Kupo de la fortune, vous avez frappé à la bonne porte<hex:021D0103>!"
2,"TEXT_CTSHWDLOT_00637_LIZBETH_010_010","Au fait, j'espère que mon nouveau costume vous plaît<hex:021D0103>? Enie me l'a con<hex:02160103>fec<hex:02160103>tion<hex:02160103>né spé<hex:02160103>cia<hex:02160103>le<hex:02160103>ment pour cette occasion... Il est peut-être un peu extravagant, mais il faut avouer qu'elle a des doigts de fée<hex:021D0103>!"
3,"TEXT_CTSHWDLOT_00637_LIZBETH_010_020","Si c'est des noix de kupo que vous cherchez, je crains de ne pas pouvoir vous aider, mais si vous voulez jouer au Kupo de la fortune, vous avez frappé à la bonne porte<hex:021D0103>!"
4,"TEXT_CTSHWDLOT_00637_LIZBETH_010_030","Vous voulez participer à ce nouveau jeu spé<hex:02160103>cia<hex:02160103>le<hex:02160103>ment conçu pour la recon<hex:02160103>struc<hex:02160103>tion d'Azurée<hex:021D0103>? Laissez-moi vous expliquer les règles."
5,"TEXT_CTSHWDLOT_00637_LIZBETH_010_040","Il s'agit d'un simple jeu de grattage. Chaque “koupon”, comme nous les appelons, contient une case sur le côté gauche, et trois cases sur le côté droit. Ces deux côtés re<hex:02160103>pré<hex:02160103>sen<hex:02160103>tent deux sortes de coffres au trésor, comme l'ont voulu ces farceurs de Mogs<hex:021D0103>!"
6,"TEXT_CTSHWDLOT_00637_LIZBETH_010_050","Pour jouer, il vous suffit de gratter la case de votre choix. Fastoche, n'est-ce pas<hex:021D0103>?"
7,"TEXT_CTSHWDLOT_00637_LIZBETH_010_060","Si le symbole qui apparaît sous votre ongle correspond à un chiffre compris entre un et quatre, vous remportez la cagnotte équivalente sur la liste<hex:021D0103>!"
8,"TEXT_CTSHWDLOT_00637_LIZBETH_010_070","En revanche, si votre grattage dévoile un griffon, vous serez tombé<hex:020808E905FF02>e<hex:FF01><hex:03> dans son piège, et vous devrez vous contenter du lot de consolation."
9,"TEXT_CTSHWDLOT_00637_LIZBETH_010_080","Cependant, sachez que si vous décidez de gratter la case de gauche, vous serez forcément gagnant<hex:020808E905FF02>e<hex:FF01><hex:03><hex:021D0103>! Elle ne contient que des lots compris entre le deuxième et le quatrième rang. Vous ne remporterez donc pas le premier prix, mais vous ne vous ferez pas manger tout<hex:020808E905FF02>e<hex:FF01><hex:03> cru<hex:020808E905FF02>e<hex:FF01><hex:03> par le griffon<hex:021D0103>!"
10,"TEXT_CTSHWDLOT_00637_LIZBETH_010_090","Par conséquent, le seul moyen de gagner le gros lot est de gratter une des trois cases de droite, mais ce faisant, vous prenez également le risque de repartir les mains quasiment vides. À vous de faire votre choix<hex:021D0103>!"
11,"TEXT_CTSHWDLOT_00637_LIZBETH_010_100","L'objet correspondant à chaque niveau se trouve sur le tableau des prix. Celui-ci change à chaque fois que vous participez au jeu, alors n'oubliez pas d'y jeter un œil pour savoir ce qui vous ferait plaisir."
12,"TEXT_CTSHWDLOT_00637_LIZBETH_010_110","Voilà pour les ex<hex:02160103>pli<hex:02160103>ca<hex:02160103>tions<hex:021D0103>! Si vous avez besoin de vous remémorer les règles, elles seront également affichées sur le panneau d'in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions, où vous pourrez les consulter à loisir."
13,"TEXT_CTSHWDLOT_00637_LIZBETH_010_120","Au fait, vous êtes au courant de notre nouveau plan pour réunir la quantité de matériaux nécessaire afin de reconstruire Azurée<hex:021D0103>? Allez voir Flotpassant, il vous expliquera les tenants et aboutissants de l'affaire mieux que moi."
14,"TEXT_CTSHWDLOT_00637_LIZBETH_010_130","Vous connaissez les assignats d'Azurée, n'est-ce pas<hex:021D0103>? Si vous ne savez pas comment les échanger, allez vous renseigner auprès d'Enie."
15,"TEXT_CTSHWDLOT_00637_LIZBETH_020_000","Si c'est des noix de kupo que vous cherchez, je crains de ne pas pouvoir vous aider, mais si vous voulez jouer au Kupo de la fortune, vous avez frappé à la bonne porte<hex:021D0103>! Voulez-vous tenter votre chance<hex:021D0103>?"
16,"TEXT_CTSHWDLOT_00637_LIZBETH_030_000","Désolée, mais j'ai bien peur que vous n'ayez pas suf<hex:02160103>fi<hex:02160103>sam<hex:02160103>ment de tampons sur votre carte... Renseignez-vous auprès de Potkin pour qu'il vous indique les objets à livrer qui permettent d'en recevoir."
17,"TEXT_CTSHWDLOT_00637_LIZBETH_040_000","Héro<hex:02080CE905FF05>ïne<hex:FF02>s<hex:03> d'Ishgard, je crains que votre sacoche ne soit déjà pleine à craquer... Faites-y un peu de place et revenez me voir ensuite, d'accord<hex:021D0103>?"
18,"TEXT_CTSHWDLOT_00637_MENU_TITLE","Voulez-vous jouer au Kupo de la fortune<hex:021D0103>?<hex:02100103>Koupons possédés<hex:021D0103>: <hex:022003E80203>"
19,"TEXT_CTSHWDLOT_00637_LIZBETH_050_000","<hex:026003020303>Par Halone, vous avez remporté le premier prix<hex:021D0103>! Toutes mes félicitations<hex:021D0103>!"
20,"TEXT_CTSHWDLOT_00637_LIZBETH_050_010","Bravo, vous avez remporté le <hex:02093BE802FF08>premier<hex:FF0A>deuxième<hex:FF0B>troisième<hex:FF0B>quatrième<hex:FF0B>cinquième<hex:03> prix<hex:021D0103>! C'est pas mal du tout<hex:021D0103>!"
21,"TEXT_CTSHWDLOT_00637_LIZBETH_050_020","Un griffon est apparu dans la case que vous avez grattée<hex:021D0103>? Dans ce cas, vous n'aurez malheureusement droit qu'au lot de consolation... mais vous pouvez retenter votre chance quand vous voulez<hex:021D0103>!"
22,"TEXT_CTSHWDLOT_00637_LIZBETH_060_000","Si vous voulez rejouer, je me ferai un plaisir de vous fournir un autre koupon<hex:021D0103>!"
23,"TEXT_CTSHWDLOT_00637_LIZBETH_070_000","Le Kupo de la fortune ne dort jamais, alors revenez quand vous voulez<hex:021D0103>!"
