key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_GAIUSA707_00780_SEQ_00","Amelot hat Probleme mit der Beschaffung einer gewissen Zutat."
1,"TEXT_GAIUSA707_00780_SEQ_01","Amelot hat dich gebeten, zur Herstellung eines antitoxischen Serums etwas Peiste-Galle zu besorgen. Sprenkle den Inhalt <hex:023214FF0A>EventItem<hex:03F61E87BD02030203>, die sie dir gegeben hat, auf <hex:023212FF09>BNpcName<hex:02F207C902050203> und gib ihr dann den Rest."
2,"TEXT_GAIUSA707_00780_SEQ_02","Du hast genug Gallensaft besorgt. Bring ihn zu Amelot in Klein-Ala Mhigo."
3,"TEXT_GAIUSA707_00780_SEQ_03","Die Bewohner von Klein-Ala Mhigo benötigen das Gegengift, um sich vor den hinterhältigen Angriffen der Leichenbrigade zu schützen. Es sieht ganz so aus, als könnte die Be<hex:02160103>freiungs<hex:02160103>armee deine Hilfe noch einige Zeit gebrauchen."
4,"TEXT_GAIUSA707_00780_SEQ_04",""
5,"TEXT_GAIUSA707_00780_SEQ_05",""
6,"TEXT_GAIUSA707_00780_SEQ_06",""
7,"TEXT_GAIUSA707_00780_SEQ_07",""
8,"TEXT_GAIUSA707_00780_SEQ_08",""
9,"TEXT_GAIUSA707_00780_SEQ_09",""
10,"TEXT_GAIUSA707_00780_SEQ_10",""
11,"TEXT_GAIUSA707_00780_SEQ_11",""
12,"TEXT_GAIUSA707_00780_SEQ_12",""
13,"TEXT_GAIUSA707_00780_SEQ_13",""
14,"TEXT_GAIUSA707_00780_SEQ_14",""
15,"TEXT_GAIUSA707_00780_SEQ_15",""
16,"TEXT_GAIUSA707_00780_SEQ_16",""
17,"TEXT_GAIUSA707_00780_SEQ_17",""
18,"TEXT_GAIUSA707_00780_SEQ_18",""
19,"TEXT_GAIUSA707_00780_SEQ_19",""
20,"TEXT_GAIUSA707_00780_SEQ_20",""
21,"TEXT_GAIUSA707_00780_SEQ_21",""
22,"TEXT_GAIUSA707_00780_SEQ_22",""
23,"TEXT_GAIUSA707_00780_SEQ_23",""
24,"TEXT_GAIUSA707_00780_TODO_00","Mithilfe <hex:023214FF0A>EventItem<hex:03F61E87BD02030203> <hex:023212FF09>BNpcName<hex:02F207C902050203> erlegen"
25,"TEXT_GAIUSA707_00780_TODO_01","<hex:023214FF0A>EventItem<hex:06F61E86E702050203> zu Amelot bringen"
26,"TEXT_GAIUSA707_00780_TODO_02",""
27,"TEXT_GAIUSA707_00780_TODO_03",""
28,"TEXT_GAIUSA707_00780_TODO_04",""
29,"TEXT_GAIUSA707_00780_TODO_05",""
30,"TEXT_GAIUSA707_00780_TODO_06",""
31,"TEXT_GAIUSA707_00780_TODO_07",""
32,"TEXT_GAIUSA707_00780_TODO_08",""
33,"TEXT_GAIUSA707_00780_TODO_09",""
34,"TEXT_GAIUSA707_00780_TODO_10",""
35,"TEXT_GAIUSA707_00780_TODO_11",""
36,"TEXT_GAIUSA707_00780_TODO_12",""
37,"TEXT_GAIUSA707_00780_TODO_13",""
38,"TEXT_GAIUSA707_00780_TODO_14",""
39,"TEXT_GAIUSA707_00780_TODO_15",""
40,"TEXT_GAIUSA707_00780_TODO_16",""
41,"TEXT_GAIUSA707_00780_TODO_17",""
42,"TEXT_GAIUSA707_00780_TODO_18",""
43,"TEXT_GAIUSA707_00780_TODO_19",""
44,"TEXT_GAIUSA707_00780_TODO_20",""
45,"TEXT_GAIUSA707_00780_TODO_21",""
46,"TEXT_GAIUSA707_00780_TODO_22",""
47,"TEXT_GAIUSA707_00780_TODO_23",""
48,"TEXT_GAIUSA707_00780_AMELOT_000_000","Grüß dich, Abenteurer<hex:020809E905FF03>in<hex:FF01><hex:03>. Ich habe gesehen, wie du meinen Kameraden zur Hand gegangen bist. Ehrlich gesagt könnte ich selbst auch etwas Hilfe gebrauchen."
49,"TEXT_GAIUSA707_00780_AMELOT_000_001","Man hat mich um die Herstellung eines Gegengifts gebeten, für das ich Peiste-Galle benötige. Mein Problem: Der Saft wird nur von den äußerst aggressiven und widerspenstigen <hex:023212FF09>BNpcName<hex:06F207C903050203> produziert. Und deren Haut ist, na ja ... wie der Name schon sagt."
50,"TEXT_GAIUSA707_00780_AMELOT_000_002","Allerdings gibt es eine Lösung. Der Inhalt dieser <hex:023214FF0A>EventItem<hex:06F61E87BD02030203> weicht die Haut der Peiste auf ... wenn man nah genug rankommt, um ihn draufzusprenkeln, heißt es. Das Einzige was ich versprenkeln würde, wäre wahrscheinlich mein eigenes Blut."
51,"TEXT_GAIUSA707_00780_AMELOT_000_003","Aber so fabelhaft, wie du dich hier bisher geschlagen hast, dürfte das für dich doch sicher kein Problem sein, oder? Ich wäre dir jedenfalls unendlich dankbar, wenn du mir den Gallensaft besorgen könntest."
52,"TEXT_GAIUSA707_00780_AMELOT_000_004","Es stört mich auch nicht weiter, dass du <hex:020812E905FF06>keine<hex:FF07>keiner<hex:03> von uns bist. Wer mir Peiste-Galle besorgt, kann sich eines oberen Platzes auf der Liste meiner besten Freunde sicher sein. Viel Glück, <hex:02081DE905FF0C>meine Liebe<hex:FF0C>mein Lieber<hex:03>!"
53,"TEXT_GAIUSA707_00780_TODO_000_010","指定地点で「見まわす」と強バジリスクＰＯＰ<hex:02100103>（バトルアイテム使用で倒す＊1→バジリスクの毒を入手"
54,"TEXT_GAIUSA707_00780_AMELOT_000_020","He, Abenteurer<hex:020809E905FF03>in<hex:FF01><hex:03>! Konntest du besorgen, um was ich dich gebeten habe?"
55,"TEXT_GAIUSA707_00780_AMELOT_000_025","Na, recht schönen Dank! Jetzt können wir es diesen Leichenbriganten endlich heimzahlen!"
56,"TEXT_GAIUSA707_00780_AMELOT_000_026","Oh, das hatte ich dir noch gar nicht erklärt, oder? Die hinterhältigen Schweine von der Leichenbrigade tränken ihre Pfeile und Waffen in Gift, mit dem sie schon einige von uns über den Silbertränensee geschickt haben. Wenn wir das Gegengift präventiv einnehmen, sind wir zumindest diese Sorge los."
57,"TEXT_GAIUSA707_00780_AMELOT_000_027","Ich werde sofort mit der Zubereitung des Serums beginnen. Du hast uns einen großen Dienst erwiesen, Abenteurer<hex:020809E905FF03>in<hex:FF01><hex:03>."
58,"TEXT_GAIUSA707_00780_POP_MESSAGE_000","Du spürst eine feindliche Präsenz!"
