key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CLSEXC020_00311_SEQ_00","Blauthota voudrait s'assurer que vous êtes toujours décidé<hex:020808E905FF02>e<hex:FF01><hex:03> à rejoindre la guilde des maraudeurs."
1,"TEXT_CLSEXC020_00311_SEQ_01","Blauthota vous a demandé d'aller vous présenter à Wyrnzoen. D'après le réceptionniste, le maître de guilde a la réputation d'être un dur à cuire. Prenez votre courage à deux mains et montrez-lui que vous êtes déterminé<hex:020808E905FF02>e<hex:FF01><hex:03> à devenir maraudeu<hex:02080AE905FF03>se<hex:FF02>r<hex:03>."
2,"TEXT_CLSEXC020_00311_SEQ_02","Wyrnzoen vous a accepté<hex:020808E905FF02>e<hex:FF01><hex:03> dans la guilde et vous a demandé de chasser des vermines qui rôdent près de Limsa Lominsa pour vous faire la main. Allez dans la Noscea centrale et abattez trois rats, trois agneaux égarés et trois coccinelles."
3,"TEXT_CLSEXC020_00311_SEQ_03","Vous êtes venu<hex:020808E905FF02>e<hex:FF01><hex:03> à bout des créatures comme convenu. Retournez à la guilde des maraudeurs et faites votre rapport à Wyrnzoen."
4,"TEXT_CLSEXC020_00311_SEQ_04","Cette partie de chasse imposée par le Trancheur vous a permis de vous fa<hex:02160103>mi<hex:02160103>lia<hex:02160103>ri<hex:02160103>ser avec votre arme. Le maître de guilde vous a expliqué qu'avec le temps et l'expérience, vous deviendrez capable de terrasser des adversaires nettement plus coriaces. Il vous a encouragé<hex:020808E905FF02>e<hex:FF01><hex:03> à poursuivre votre en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment et à revenir le voir lorsque vous serez plus aguerri<hex:020808E905FF02>e<hex:FF01><hex:03>.<hex:02100103>* Wyrnzoen propose la prochaine quête aux maraudeurs de niveau 5."
5,"TEXT_CLSEXC020_00311_SEQ_05",""
6,"TEXT_CLSEXC020_00311_SEQ_06",""
7,"TEXT_CLSEXC020_00311_SEQ_07",""
8,"TEXT_CLSEXC020_00311_SEQ_08",""
9,"TEXT_CLSEXC020_00311_SEQ_09",""
10,"TEXT_CLSEXC020_00311_SEQ_10",""
11,"TEXT_CLSEXC020_00311_SEQ_11",""
12,"TEXT_CLSEXC020_00311_SEQ_12",""
13,"TEXT_CLSEXC020_00311_SEQ_13",""
14,"TEXT_CLSEXC020_00311_SEQ_14",""
15,"TEXT_CLSEXC020_00311_SEQ_15",""
16,"TEXT_CLSEXC020_00311_SEQ_16",""
17,"TEXT_CLSEXC020_00311_SEQ_17",""
18,"TEXT_CLSEXC020_00311_SEQ_18",""
19,"TEXT_CLSEXC020_00311_SEQ_19",""
20,"TEXT_CLSEXC020_00311_SEQ_20",""
21,"TEXT_CLSEXC020_00311_SEQ_21",""
22,"TEXT_CLSEXC020_00311_SEQ_22",""
23,"TEXT_CLSEXC020_00311_SEQ_23",""
24,"TEXT_CLSEXC020_00311_TODO_00","Parler à Wyrnzoen"
25,"TEXT_CLSEXC020_00311_TODO_01","Tuer des rats (maraudeur)"
26,"TEXT_CLSEXC020_00311_TODO_02","Tuer des agneaux égarés (maraudeur)"
27,"TEXT_CLSEXC020_00311_TODO_03","Tuer des coccinelles (maraudeur)"
28,"TEXT_CLSEXC020_00311_TODO_04","Faire un rapport à Wyrnzoen"
29,"TEXT_CLSEXC020_00311_TODO_05",""
30,"TEXT_CLSEXC020_00311_TODO_06",""
31,"TEXT_CLSEXC020_00311_TODO_07",""
32,"TEXT_CLSEXC020_00311_TODO_08",""
33,"TEXT_CLSEXC020_00311_TODO_09",""
34,"TEXT_CLSEXC020_00311_TODO_10",""
35,"TEXT_CLSEXC020_00311_TODO_11",""
36,"TEXT_CLSEXC020_00311_TODO_12",""
37,"TEXT_CLSEXC020_00311_TODO_13",""
38,"TEXT_CLSEXC020_00311_TODO_14",""
39,"TEXT_CLSEXC020_00311_TODO_15",""
40,"TEXT_CLSEXC020_00311_TODO_16",""
41,"TEXT_CLSEXC020_00311_TODO_17",""
42,"TEXT_CLSEXC020_00311_TODO_18",""
43,"TEXT_CLSEXC020_00311_TODO_19",""
44,"TEXT_CLSEXC020_00311_TODO_20",""
45,"TEXT_CLSEXC020_00311_TODO_21",""
46,"TEXT_CLSEXC020_00311_TODO_22",""
47,"TEXT_CLSEXC020_00311_TODO_23",""
48,"TEXT_CLSEXC020_00311_BLAUTHOTA_000_1","Voilà, j'ai terminé les préparatifs de ton inscription. Es-tu toujours décidé<hex:020808E905FF02>e<hex:FF01><hex:03> à nous rejoindre<hex:021D0103>?"
49,"TEXT_CLSEXC020_00311_Q1_000_1","空"
50,"TEXT_CLSEXC020_00311_A1_000_1","空"
51,"TEXT_CLSEXC020_00311_A1_000_2","空"
52,"TEXT_CLSEXC020_00311_BLAUTHOTA_000_2","Sur un champ de bataille, la moindre hésitation peut être fatale. Je préfère que tu sois sûr<hex:020808E905FF02>e<hex:FF01><hex:03> de toi plutôt que de te lancer dans cette discipline sans y croire."
53,"TEXT_CLSEXC020_00311_BLAUTHOTA_000_4","Fort bien. Tout ce qui te reste à faire maintenant, c'est d'aller te présenter à Wyrnzoen, ou le Trancheur comme on l'appelle ici. Tu ne peux pas le rater, c'est le grand gaillard au milieu de la salle."
54,"TEXT_CLSEXC020_00311_BLAUTHOTA_000_5","Je préfère te prévenir<hex:021D0103>: il a une réputation de dur à cuire et a tendance à persécuter ses élèves. C'est cependant un homme d'expérience qui a de grandes qualités de combattant. Ne te laisse pas impressionner par son allure et fais-lui part de ton désir d'apprendre nos techniques. Bonne chance à toi<hex:021D0103>!"
55,"TEXT_CLSEXC020_00311_WYRNZOEN_000_10","Oui, je suis Wyrnzoen. C'est Blauthota qui t'envoie, tu dis<hex:021D0103>? Hmm... Je vois."
56,"TEXT_CLSEXC020_00311_WYRNZOEN_000_12","Le maraudeur est le combattant le plus puissant et le plus endurant sur le champ de bataille. C'est une arme de guerre qui ne laisse aucun survivant derrière lui."
57,"TEXT_CLSEXC020_00311_WYRNZOEN_000_14","Pour cela, il dispose d'un arsenal de techniques simples et rodées qui permettent de fracasser, trancher et détruire n'importe quel adversaire."
58,"TEXT_CLSEXC020_00311_WYRNZOEN_000_16","Nul doute que Blauthota t'a déjà posé la question, mais je préfère m'assurer en personne de ta détermination avant de t'accepter dans la guilde. Alors, aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03>, es-tu prêt<hex:020808E905FF02>e<hex:FF01><hex:03> à suivre la voie de la hache<hex:021D0103>?"
59,"TEXT_CLSEXC020_00311_Q2_000_1","Rejoindre la guilde des maraudeurs<hex:021D0103>?"
60,"TEXT_CLSEXC020_00311_A2_000_1","Oui"
61,"TEXT_CLSEXC020_00311_A2_000_2","Non"
